:START_ID,:END_ID,:TYPE,properties,source_location
chunk_0_hotel_1,chunk_0_location_1,located_in,,char_299_529
chunk_0_reservation_1,chunk_0_airline_1,operated_by,,char_244_291
chunk_1_person_1,chunk_1_reservation_1,has_reservation,,char_280_456
chunk_1_person_2,chunk_1_reservation_2,has_reservation,,char_650_826
chunk_1_person_1,chunk_1_room_1,assigned_to,,char_280_316
chunk_1_person_2,chunk_1_room_1,assigned_to,,char_650_686
chunk_1_person_1,chunk_1_flight_1,travels_on,,char_280_514
chunk_1_person_1,chunk_1_flight_2,travels_on,,char_280_554
chunk_1_person_2,chunk_1_flight_1,travels_on,,char_650_884
chunk_1_person_2,chunk_1_flight_2,travels_on,,char_650_924
chunk_1_flight_1,chunk_1_airline_1,operated_by,,char_500_514
chunk_1_flight_2,chunk_1_airline_1,operated_by,,char_540_554
chunk_1_flight_1,chunk_1_airport_1,departs_from,,char_500_514
chunk_1_flight_1,chunk_1_airport_2,arrives_at,,char_500_514
chunk_1_flight_2,chunk_1_airport_2,departs_from,,char_540_554
chunk_1_flight_2,chunk_1_airport_3,arrives_at,,char_540_554
chunk_1_person_1,chunk_1_travel_class_1,travels_in,,char_280_497
chunk_1_person_2,chunk_1_travel_class_1,travels_in,,char_650_867
